ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
CYP,NGDP_R,Cyprus,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Eurostat Latest actual data: 2016 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2017",4.334,4.466,4.747,4.998,5.44,5.698,5.902,6.324,6.85,7.404,7.952,8.011,8.761,8.822,9.343,10.27,10.407,10.673,11.233,11.775,12.449,12.897,13.336,13.665,14.29,14.823,15.491,16.238,16.865,16.566,16.785,16.838,16.307,15.336,15.101,15.355,15.79,16.321,16.746,17.144,17.529,17.918,18.315,2016
CZE,NGDP_R,Czech Republic,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Czech koruna Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2647.66,2767.47,2751.01,2741.97,2781.26,2899.93,2984.28,3033.59,3142.89,3297.1,3512.52,3753.25,3963.53,4069.84,3874.38,3962.46,4032.91,4000.65,3981.3,4089.4,4306.52,4418.2,4572.71,4690.64,4797.33,4906.15,5020.7,5137.27,2016
DNK,NGDP_R,Denmark,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2015 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980 Primary domestic currency: Danish krone Data last updated: 09/2017",1048.1,1041.2,1079.5,1107.5,1153.7,1199.9,1258.7,1261.9,1261.8,1269.9,1288.6,1306.6,1332.2,1332.3,1403.3,1445.8,1487.8,1536.3,1570.3,1616.6,1677.2,1691,1698.9,1705.5,1751,1792,1862.1,1879,1869.4,1777.7,1810.9,1835.1,1839.3,1856.5,1887.6,1917.9,1950.1,1987.79,2024.41,2061.01,2099.74,2138.17,2177.53,2015
DJI,NGDP_R,Djibouti,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2014 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Djibouti franc Data last updated: 08/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,76.806,77.237,72.023,71.043,68.571,66.011,65.209,65.283,67.189,67.668,68.881,71.109,73.375,75.414,77.76,81.512,85.601,90.571,92.035,95.852,102.842,107.822,113.213,120.006,127.807,136.114,145.642,155.837,166.746,176.75,187.355,198.597,2014
DMA,NGDP_R,Dominica,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015. Estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2017,0.476,0.527,0.549,0.563,0.587,0.595,0.637,0.678,0.731,0.729,0.769,0.779,0.795,0.812,0.812,0.837,0.863,0.882,0.915,0.918,0.94,0.939,0.913,0.971,1,1.007,1.054,1.121,1.2,1.186,1.194,1.192,1.179,1.172,1.224,1.192,1.224,1.272,1.308,1.331,1.359,1.384,1.405,2015
DOM,NGDP_R,Dominican Republic,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007 Primary domestic currency: Dominican peso Data last updated: 09/2017",465.025,484.922,493.164,515.988,522.453,511.363,529.374,582.932,595.5,621.705,587.795,593.35,659.929,708.529,726.954,768.284,814.211,886.556,946.083,1002.28,1049.01,1074.81,1123.12,1108.01,1136.48,1243.63,1357.73,1458.42,1505.22,1519.47,1645.84,1696.89,1744.3,1827.02,1966.04,2104.46,2244.31,2351.14,2487.48,2611.11,2740.88,2877.11,3020.1,2016
ECU,NGDP_R,Ecuador,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2016 Notes: The national accounts have been updated from 2002 onwards. Prior to 2002 the data are adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: U.S. dollar Data last updated: 08/2017,24.536,25.493,25.799,25.077,26.13,27.28,28.124,26.444,29.217,29.3,30.181,31.725,32.871,33.529,34.956,35.744,36.363,37.936,39.176,37.319,37.726,39.241,40.849,41.961,45.407,47.809,49.915,51.008,54.25,54.558,56.481,60.925,64.362,67.546,70.243,70.354,69.321,69.46,69.854,70.534,71.545,72.608,73.796,2016
EGY,NGDP_R,Egypt,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Ministry of Planning Latest actual data: 2015/16. Fiscal year 2014/2015 Notes: Data prior to 1987 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993. From 2001/2002, the structure, concepts, definitions, and classifications follow the 1993 System and part of 2008 of National Accounts GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Base year: 2011/12. 2011/12 for demand side, 2011/12 for supply side Chain-weighted: No Primary domestic currency: Egyptian pound Data last updated: 09/2017",387.233,395.744,424.619,462.309,499.391,536.473,562.005,586.017,609.421,627.658,642.406,655.896,657.864,676.942,705.289,736.914,772.866,818.613,880.36,934.149,984.437,1019.13,1051.59,1085.18,1129.58,1180.09,1260.86,1350.23,1446.85,1514.47,1592.42,1620.52,1656.6,1711.3,1761.2,1838.2,1917.2,1995.81,2084.85,2194.44,2320.74,2460.17,2607.21,2016
SLV,NGDP_R,El Salvador,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2016 National accounts manual used: Other GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: U.S. dollar Data last updated: 08/2017,4.741,4.469,4.187,4.252,4.308,4.335,4.343,4.452,4.536,4.58,4.801,4.973,5.348,5.742,6.089,6.479,6.589,6.869,7.127,7.372,7.531,7.66,7.839,8.019,8.168,8.459,8.79,9.127,9.243,8.954,9.076,9.277,9.452,9.626,9.764,9.988,10.224,10.459,10.679,10.903,11.121,11.344,11.571,2016
GNQ,NGDP_R,Equatorial Guinea,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Ministry of Economy and/or Planning. Ministry of Economy, Planning, and Public Investment, and Banque des Etats de l'Afrique Centrale (Central Bank) Latest actual data: 2016 Notes: Since 2006, IMF staff have estimated real GDP growth from hydrocarbon production and investment data and the government expenditure. The national authorities are considering the adoption of the IMF staff estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2017",43.29,45.787,46.795,49.137,49.634,56.04,54.734,57.162,58.68,57.958,59.429,58.689,78.057,86.222,100.714,127.414,194.533,482.388,602.092,761.013,1614.47,2584.28,3091.12,3537.83,4614.09,4991.5,5274.15,6080.15,7162.36,7258.58,6610.81,7042.09,7627.49,7312.23,7261.45,6598.57,5959.5,5519.03,5087.83,4902.55,4735.27,4735.69,4670.08,2016
ERI,NGDP_R,Eritrea,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: IMF Staff Estimates Latest actual data: 2006 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Eritrean nakfa Data last updated: 08/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.179,10.362,11.696,14.143,14.472,15.794,17.042,17.377,17.409,15.258,16.594,17.093,16.639,16.88,16.717,16.955,15.297,15.89,16.238,17.647,18.886,19.462,20.433,21.409,22.194,22.917,23.753,24.609,25.54,26.541,27.59,2006
EST,NGDP_R,Estonia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2010 Primary domestic currency: Euro Data last updated: 08/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.896,7.766,7.933,8.356,9.342,9.726,9.643,10.662,11.337,12.026,12.917,13.731,15.018,16.56,17.843,16.876,14.391,14.717,15.835,16.517,16.836,17.323,17.613,17.977,18.696,19.392,19.974,20.564,21.174,21.809,2016
ETH,NGDP_R,Ethiopia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015/16 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs. Data refer to fiscal years (July/June). Data for 2011 represent fiscal year 2010/11. Start/end months of reporting year: July/June Base year: 2010/11. The base year is 2010/11 Chain-weighted: No Primary domestic currency: Ethiopian birr Data last updated: 08/2017,113.258,113.258,114.347,123.318,120.476,106.726,117.07,133.308,134.074,133.461,136.933,127.049,115.732,131.198,135.772,144.082,163.581,168.227,161.186,171.331,188.186,202.146,205.448,201.137,224.729,253.144,282.356,315.659,350.972,386.215,427.026,475.648,517.027,568.432,626.977,692.222,747.309,810.558,879.071,950.079,1024.14,1100.69,1182.88,2016
FJI,NGDP_R,Fiji,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Fiji dollar Data last updated: 09/2017,2.948,3.125,3.091,2.961,3.26,3.137,3.344,3.103,3.211,3.657,3.869,3.764,3.994,4.098,4.307,4.419,4.631,4.52,4.578,4.977,4.892,4.985,5.145,5.186,5.466,5.395,5.497,5.448,5.502,5.425,5.588,5.739,5.82,6.095,6.437,6.684,6.71,6.965,7.209,7.454,7.7,7.954,8.208,2016
FIN,NGDP_R,Finland,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2016 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 08/2017",92.601,93.799,96.695,99.714,102.918,106.558,109.463,113.359,119.266,125.333,126.184,118.719,114.772,113.929,118.418,123.399,127.913,135.911,143.288,149.656,158.089,162.17,164.895,168.183,174.786,179.646,186.93,196.623,198.04,181.664,187.1,191.91,189.173,187.738,186.552,186.536,190.13,195.37,199.942,203.593,206.875,209.934,213.069,2016
FRA,NGDP_R,France,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. On May 15 2014 the National Accounts were rebased from 2005 to 2010. In addition, concepts underpinning the computation of accounts have been substantially modified in compliance with the new European System of Accounts (ESA, 2010). One important methodological change affects the computation of R&D expenditures as an investment (previously registered as intermediate consumption) which results in a substantial revision in the GDP level. Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2017",1126.61,1138.75,1167.32,1181.99,1200,1219.48,1248.16,1280.33,1340.94,1399.31,1440.09,1455.05,1478.33,1469.27,1503.73,1535.08,1556.39,1592.77,1649.41,1705.61,1771.7,1806.33,1826.53,1841.5,1892.81,1923.24,1968.92,2015.42,2019.35,1959.96,1998.48,2040.03,2043.76,2055.54,2075.02,2097.17,2122.07,2155.38,2193.34,2234.97,2277.99,2320.44,2363.15,2016
GAB,NGDP_R,Gabon,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 07/2017,2595.28,2491.47,2593.62,2645.5,2775.12,2936.08,2874.42,2431.76,2516.87,2905.24,3054.76,3241.82,3141.75,3265.75,3386.99,3555.46,3684.35,3895.77,4031.26,3670.73,3601.61,3679.03,3685.9,3748.59,3790.57,3760.76,3689,3922.62,3990.57,3899.62,4144.15,4438.04,4671.08,4928.79,5147.39,5347.04,5458.35,5511,5657.52,5888.41,6161.21,6454.65,6786.33,2015
GMB,NGDP_R,The Gambia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Gambian dalasi Data last updated: 09/2017,7.879,7.129,8.609,9.772,9.028,9.357,9.578,9.847,10.014,10.448,11.043,11.282,11.481,11.921,11.516,11.898,12.244,12.417,13.225,14.071,14.848,15.702,15.193,16.237,17.381,17.217,17.411,18.043,19.078,20.308,21.634,20.704,21.864,22.911,23.117,24.111,24.645,25.385,26.282,27.334,28.564,29.929,31.36,2016
GEO,NGDP_R,Georgia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 Notes: Data prior to 1996 cannot be confirmed by national sources National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 1996 Primary domestic currency: Georgian lari Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.442,4.558,5.036,5.569,5.729,5.898,6.043,6.328,6.681,7.427,7.858,8.611,9.423,10.608,10.864,10.468,11.122,11.925,12.682,13.112,13.718,14.113,14.501,15.075,15.703,16.408,17.223,18.165,19.156,2016
DEU,NGDP_R,Germany,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. The GDP deflator in the base year is not exactly equal to 100 since it is computed based on the quarterly real GDP data, which have been adjusted for seasonal and calendar effects. Chain-weighted: Yes, from 1991. From 1991. Primary domestic currency: Euro Data last updated: 08/2017",1548.07,1549.78,1537.57,1561.47,1605.6,1640.8,1680.46,1705.15,1768.85,1838.06,1943.27,2040.65,2071.62,2051.21,2103.16,2141.13,2159.61,2200.87,2239.75,2281.19,2353.87,2396.87,2397.58,2380.33,2397,2418.03,2511.7,2596.34,2617.52,2471.91,2569.43,2664.95,2683.31,2699.39,2751.41,2792.79,2844.6,2902.91,2956.42,2999.48,3042.39,3082,3119.72,2016
GHA,NGDP_R,Ghana,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Ghanaian cedi Data last updated: 08/2017,7.279,7.025,6.539,6.222,6.78,7.125,7.495,7.855,8.297,8.719,9.009,9.487,9.857,10.223,10.593,11.041,11.555,12.114,12.683,13.245,13.739,14.314,14.965,15.75,16.629,17.605,18.705,19.518,21.304,22.336,24.101,27.486,30.04,32.237,33.522,34.808,36.016,38.137,41.516,43.985,46.233,48.647,51.256,2016
GRC,NGDP_R,Greece,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2016. For quarterly data, latest actual is 2017Q2. Notes: The National Statistical Office has significantly and repeatedly revised national accounts data over the course of the past several years. Official data are only available from 1995. Data prior to 1995 came from European Commission Macro Forecasts (AMECO database). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 08/2017",139.374,137.205,135.655,134.192,136.885,140.325,141.047,137.864,143.776,149.238,149.238,153.867,154.94,152.462,155.511,158.777,163.323,170.646,177.292,182.739,189.901,197.748,205.505,217.413,228.416,229.783,242.772,250.719,249.879,239.133,226.031,205.389,190.395,184.223,184.874,184.468,184.49,187.728,192.685,196.331,200.154,203.725,205.839,2016
GRD,NGDP_R,Grenada,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015. Estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2017,0.712,0.721,0.751,0.776,0.806,0.855,0.918,1.001,1.03,1.069,1.114,1.13,1.121,1.099,1.119,1.144,1.194,1.252,1.4,1.498,1.574,1.542,1.595,1.746,1.735,1.965,1.886,2.002,2.021,1.887,1.878,1.892,1.87,1.914,2.055,2.187,2.268,2.325,2.379,2.431,2.492,2.561,2.631,2015
GTM,NGDP_R,Guatemala,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzal Data last updated: 08/2017",91.831,92.423,89.149,86.896,87.34,86.816,86.902,90.012,93.515,97.203,100.217,103.224,107.972,111.643,115.551,120.635,124.013,129.097,135.036,140.032,143.533,146.978,152.661,156.524,161.458,166.722,175.691,186.767,192.895,193.91,199.474,207.776,213.947,221.858,231.118,240.687,248.068,255.911,264.539,274.664,285.554,296.912,308.809,2016
GIN,NGDP_R,Guinea,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2011 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: No Primary domestic currency: Guinean franc Data last updated: 08/2017,14522.28,14610.83,14873.82,15067.18,15278.13,16042.02,16541.58,17087.44,18165.33,18892.58,19709.5,20201.56,20862.66,21915.91,22792.69,23859.4,24923.9,26215.36,27170.68,28206.43,28912.45,29970.17,31518.01,31911.55,32658.31,33637.17,34477,36722,38243,37655,39243.5,41446.6,43898.3,45625.1,47317,48975.9,52221.55,55699.67,58919.77,62387.73,66128.34,70114.06,73743.22,2011
GNB,NGDP_R,Guinea-Bissau,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015 Notes: Data prior to 1997 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2017,180.565,179.666,187.212,180.847,190.794,198.998,197.008,208.04,212.114,218.32,228.318,244.997,252.58,258.329,265.983,276.664,287.029,304.233,252.789,286.229,285.687,291.448,287.719,288.875,296.851,309.516,316.664,326.996,337.472,348.841,364.926,394.43,387.674,400.297,404.158,424.817,446.452,468.774,492.213,516.824,542.665,569.798,598.288,2015
GUY,NGDP_R,Guyana,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Previous base year 1988. Rebased to 2006 in 2009. GDP deflator not equal to 100 in base year (2006) because the nominal GDP at market prices includes indirect taxes. Chain-weighted: No Primary domestic currency: Guyana dollar Data last updated: 08/2017,211.013,212.199,193.348,171.12,174.771,175.41,174.999,174.771,164.319,156.194,151.493,160.621,173.082,187.278,203.162,213.432,230.411,244.661,240.485,247.665,244.333,249.856,252.728,251.08,255.012,250.06,262.88,281.335,286.896,296.417,309.373,326.194,341.905,359.759,373.577,385.304,398.016,412.074,426.855,442.593,612.988,787.856,809.561,2016
HTI,NGDP_R,Haiti,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015/16 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: 1986/87. Fiscal year 1986-1987 Chain-weighted: No Primary domestic currency: Haitian gourde Data last updated: 08/2017,13.147,13.286,12.914,12.72,12.746,12.842,12.878,12.822,12.894,12.748,12.692,12.852,12.562,11.944,10.558,11.603,12.083,12.41,12.681,13.025,13.138,13.001,12.968,13.015,12.557,12.783,13.071,13.508,13.622,14.042,13.27,14.003,14.407,15.018,15.439,15.626,15.851,16.01,16.49,16.984,17.494,18.019,18.559,2016
HND,NGDP_R,Honduras,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2016. Estimates of the CBH, subject to change National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempira Data last updated: 08/2017",59.879,61.396,60.542,59.982,62.589,65.21,65.682,69.643,72.854,76.005,76.079,78.553,82.971,88.14,86.991,90.541,93.781,98.464,101.321,99.406,106.654,109.559,113.672,118.841,126.247,133.886,142.678,151.508,157.919,154.079,159.828,165.958,172.81,177.634,183.067,189.732,196.58,204.443,211.803,219.851,228.206,236.878,245.879,2016
