,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62,Region,IncomeGroup,SpecialNotes,TableName
54,Djibouti,DJI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921610913.655908,882187931.673425,882029429.16374,823631308.142504,815911061.3823769,787449952.695877,755042458.82985,749410807.510215,750155561.22497,766501497.25071,769691783.4416339,785453257.871485,806020840.68807,831813180.062946,863642312.5960339,891016329.432381,933783907.5461061,981407460.056192,1038328725.8753,1090583938.28285,1128611700.3618,1179032592.01788,1236125825.40744,1297930970.22735,1375809350.63202,1465243951.7709699,,,,Middle East & North Africa,Lower middle income,,Djibouti
55,Dominica,DMA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,184943154.565796,206715583.20937902,168588642.748878,192630537.548575,215908721.780224,224835299.686665,230887181.871994,243416029.25657,246542855.72555602,263992511.37961802,283841295.70624703,308135321.253817,307386040.6023,323538864.359506,325505757.079587,332170021.76848,337753613.883227,342587966.692923,349353116.758139,358582268.100614,363928076.691087,382044733.529912,384655225.33516604,386098878.531743,387925524.040151,381124567.93563396,410422425.455826,423761746.261163,423387808.82532203,435791748.53700095,463338169.769905,496331284.969603,490525414.25522304,493824407.40740705,492683617.072124,487412935.009838,491169137.37979406,511734207.87830704,502716709.093779,507190550.044662,,,Latin America & Caribbean,Upper middle income,,Dominica
56,Denmark,DNK,GDP (constant 2010 US$),NY.GDP.MKTP.KD,96517878770.3158,102674592566.05199,108492979143.33301,109184102458.095,119305401296.036,124740066332.02,128159079420.128,132544177007.18901,137812738725.37302,146525928470.943,150533732213.742,155057320537.155,161150055786.952,167745807088.27698,165863008583.634,163447144641.56302,173130692602.784,176368736192.17398,180295248551.98398,187270973448.96698,186366469152.705,185125020558.936,191946231158.013,196929272813.75198,205133644199.268,213346550321.608,223809604246.03198,224378586700.92398,224348003893.974,225795530820.624,229126567479.98602,232319803701.053,236866329129.679,236891577726.115,249523699452.79898,257078363997.635,264533812226.9,273159941857.105,279219071580.66,287450469632.784,298220951889.866,300675755568.694,302077941705.969,303256268808.649,311347732738.273,318622884652.143,331090534887.959,334100985495.393,332390304183.355,316081488955.962,321995350346.50104,326299702617.764,327038668581.056,330091081644.537,335623191369.247,341013588901.286,345404355382.885,,,Europe & Central Asia,High income,,Denmark
57,Dominican Republic,DOM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4204530262.31909,4107269018.59802,4807445063.90073,5120068535.38104,5466434265.65378,4784123019.48175,5428225998.85555,5608852514.45156,5622249846.76091,6234594143.39497,7370953846.6120405,8172284592.97052,9021725262.39513,10185145636.2263,10796448187.7784,11357135095.7147,12121257073.715,12725111913.0717,12997516433.9582,13586485791.8172,14669157317.1127,15296977810.6275,15556828892.8412,16276790587.538,16480721841.7392,16130912756.0896,16699042406.4138,18388545872.6107,18784996178.6408,19611637226.7936,18541957266.7285,18717019096.0926,20684773376.5338,22178756236.9864,22689589858.6295,23936071815.0044,25643041027.0827,27695580403.569,29637206134.2285,31627449468.869,33416489317.9716,34021070296.6871,35990280376.6727,35899095830.6497,36370076969.2712,39738946300.8362,43979550792.6513,47810351794.1464,49344827072.4557,49811705703.8391,53954579003.5277,55628205429.6772,57182407631.0407,59894034107.2754,64451350101.1139,68989328534.6785,73573876509.7028,,,Latin America & Caribbean,Upper middle income,,Dominican Republic
58,Algeria,DZA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,27434399198.5661,23701828112.4837,19036113335.2005,25568113635.8175,27061141389.0302,28740798889.5036,27359811853.9881,29946124625.8101,33179179683.712,35977272901.7645,39165815236.0404,34727655043.5586,44251356563.9066,45938738803.5353,49381809470.8621,51873290453.4046,56223777003.7627,59180352662.8655,64633724928.158,69466922771.1721,70016133106.5164,72116614360.2801,76732080647.514,80875615322.4914,85404646973.9496,88564616567.7931,88918875921.9762,88296445990.496,87413476682.8251,91259671545.3277,91989749446.9795,90885871916.0363,92521819701.8253,90578860785.6483,89763654164.5903,93174668346.0474,96994828322.4354,98061771373.7004,103062925254.282,106360940460.50801,110423586430.994,113745564598.73,120125920931.173,128777236288.584,134316749131.75099,142251902308.528,144648118986.031,149526919452.577,153055956405.236,155554202821.621,161207268655.392,165869166838.539,171466867482.163,176212451150.23398,182889354514.369,189772334940.90802,196793911332.903,,,Middle East & North Africa,Upper middle income,The new base year is 1999.,Algeria
64,Ecuador,ECU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,10202243247.2743,10359671884.8964,10831957305.1699,11251766964.446001,12130742580.3667,12703067759.1904,12659937587.1629,13244962663.9128,13497867066.9789,14128114602.6041,15098988653.7367,16049108549.3378,16854395152.4747,19205698245.4985,21358370782.4021,23701844116.8743,25455113995.4351,25863628384.4358,27339620380.6521,28360495038.3763,29412295887.7496,31063168090.3808,31254158536.0804,31148873036.3377,31966616073.5339,33224502867.2422,34375659633.5608,34286592743.4633,36306233273.873,36671393361.237,38020869118.8889,39652474795.4838,40490851303.0372,41289824101.1892,43048048229.3022,44017726512.0244,44780002396.8268,46718020342.0217,48244078213.3422,45957605225.5697,46459371078.3637,48325007474.5456,50304775101.152,51674512421.7873,55917517445.674,58876285668.9747,61468918471.6664,62815127109.2433,66808366776.0763,67186830556.6821,69555367000.0,75028081292.3641,79261137178.2611,83181798259.0618,86503004995.8985,86639458057.6387,85368024968.8585,,,Latin America & Caribbean,Upper middle income,,Ecuador
65,"Egypt, Arab Rep.",EGY,GDP (constant 2010 US$),NY.GDP.MKTP.KD,17038278408.6099,17788028365.1548,19007686513.0155,20728937458.9471,22416744290.8183,23569156837.4072,23818207483.1493,23967296975.0627,24619546311.3682,26296754952.9519,27768982733.97,28724497087.8388,29307287698.3267,29513973077.345,30247543950.9857,32951416416.3002,37771312183.5335,42619992153.9048,45083309016.9239,47805821098.7321,52591819148.2619,54567220520.8854,59973288441.0856,64411992915.9174,68335660987.6263,72847205717.1573,74775169522.9359,76659063543.5379,80722556274.1682,84736384579.7923,89567840760.6468,90534132004.9763,94546599458.8784,97289194505.7786,101154661853.797,105850733344.84,111131341206.46301,117233700753.71901,121965690626.027,129412261131.643,136359108297.002,141179746359.354,144526355905.341,149140048724.194,155239787829.625,162192916084.42902,173309468988.768,185597580010.744,198881943532.621,208177377018.708,218888324504.75302,222783648066.582,227719662137.55603,232696398050.994,239481619965.763,249951802078.73398,260693936973.86,,,Middle East & North Africa,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: FY.,"Egypt, Arab Rep."
67,Eritrea,ERI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179433456.90305,1338123427.62891,1622092104.73348,1668457645.41958,1822937442.10576,1967107820.49516,2001976435.2255301,2002246306.4743898,1939336012.3636398,2109133320.0465102,2172521829.09089,2114830167.75909,2145531908.7939,2200767544.94132,2179437333.32658,2210534025.9850802,1994276818.2364302,2071584990.2117102,2117039512.1951199,2300794306.42964,,,,,,,,Sub-Saharan Africa,Low income,,Eritrea
68,Spain,ESP,GDP (constant 2010 US$),NY.GDP.MKTP.KD,224147503586.387,250683596251.83102,275635232839.177,302086564855.48,318122861101.32697,338015512750.505,362508320659.89795,378242408566.594,403195136428.611,439107789948.40295,457949610667.22705,479241856456.875,518298849848.173,558666375675.178,590056642489.808,593255949224.6371,612855889017.625,630252258684.602,639472870492.75,639738549111.581,653868634442.1079,653002463628.9971,661141889478.814,672844866204.522,684853044626.357,700751468777.615,723549168510.109,763685328112.442,802589934815.111,841331194157.235,873145236800.2529,895375519587.7421,903695487006.165,894373942399.514,915688620363.504,940938679382.847,966105392900.9259,1001750952717.03,1044886132833.35,1091748243369.62,1149491825238.62,1195483788907.12,1229910878223.45,1269115166553.55,1309304826679.13,1358051593216.67,1414738284369.57,1468058288554.62,1484441419078.7,1431390273058.27,1431587612302.26,1417270583929.96,1375747228376.92,1352278427011.78,1370926323356.09,1414860131419.54,1460641511599.49,,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Spain
69,Estonia,EST,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10507168850.136,11066554220.3539,12372254758.3177,12881652376.2825,12771327686.6327,14121011168.8073,15014689085.8925,15927040858.0414,17108216227.3352,18185135022.5104,19889757107.0738,21932809902.7181,23632206205.7045,22351469214.5471,19060348608.4809,19490936349.1753,20971721297.2151,21875027647.655,22184606169.2834,22810856962.3705,23140294963.8358,23503665514.5254,,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Estonia
70,Ethiopia,ETH,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,8227603582.400391,8302969571.403271,8986719590.41069,8730775888.58718,7757787405.8765,8507314752.68831,9686371612.14657,9735159432.65082,9700011206.06828,9964477334.54831,9253264786.760971,8450777236.919641,9561448857.46772,9866455688.41206,10471023886.7174,11772171511.4072,12141100402.7987,11721244256.7242,12326311977.6713,13074915712.856,14160304517.4679,14374794288.2309,14064103274.4481,15972968198.9981,17860775923.3616,19795942247.5789,22063798449.7811,24444156129.287003,26595865977.4424,29933790334.3418,33279878092.46,36157859262.3837,39984181570.2945,44085556181.8801,48667131306.0419,52347226230.2332,,,Sub-Saharan Africa,Low income,Fiscal year end: July 7; reporting period for national accounts data: FY.,Ethiopia
73,Finland,FIN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,54020839834.6355,58128946694.1798,59862320225.3108,61828857088.9561,65067877138.9059,68518334138.5461,70144152940.6732,71665459589.2979,73316122941.6881,80349549608.1422,84635320495.2761,86630107555.3454,93331366979.2586,99849469096.2651,103081130725.907,104941639688.05199,105303040819.575,105555252558.093,108637157806.075,116374216221.74199,122645677924.149,124233662847.21901,128069196072.58301,132066309081.611,136311089463.96301,141131994484.793,144979447530.263,150139405211.898,157961456050.64,165998063651.298,167119851165.76,157235671448.603,152008168119.698,150891678303.061,156835695262.809,163433977903.956,169413754324.023,180005176700.83,189776780339.20398,198210715276.744,209379586716.485,214783238498.075,218392295141.41602,222747002753.638,231492177438.401,237927555871.42603,247575988035.367,260412309865.555,262289019320.09198,240600244424.183,247799815768.477,254170297403.145,250545347666.32898,248646122996.035,247075355590.897,247738892243.48898,251175773707.515,,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Finland
74,Fiji,FJI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,697947698.513009,722498581.153345,748552617.958704,796151372.036738,834981909.492961,812435168.867151,812435168.867151,920910117.869457,993811403.1515311,1019614826.89682,1149133552.97642,1228297210.20435,1320238654.74461,1473556233.66782,1511885640.31216,1519901827.13724,1561488822.32949,1653679307.34358,1684493991.5536199,1890420346.0122898,1860108269.89211,1977852947.5611398,1859607282.0426102,1785964546.1802602,1935860987.58766,1846550527.46395,1989656493.8770602,1858040318.9999602,1875798629.86436,2015332395.17535,2132221728.89777,2074651682.0780199,2201205463.6108303,2248091836.12678,2362744523.3433,2421813101.87764,2538060153.26052,2482222810.54121,2514491755.78077,2735766980.72918,2689258981.9909396,2743044147.33452,2830821574.15485,2859129746.53114,3010663631.43676,3031738288.38912,3087900727.57084,3061633390.8877697,3093253763.44286,3050380106.78989,3140508835.9485,3225464089.99005,3286214954.55722,3486033050.5205398,3675898772.43104,3880405939.29852,3956652115.4913297,,,East Asia & Pacific,Upper middle income,National accounts have been revised from 2011 to 2015 based on the Fiji Bureau of Statistics and World Bank estimates. The new base year is 2011.,Fiji
75,France,FRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,608176285777.397,641664128970.2421,684477080169.692,721077259044.246,768079514212.744,804778623588.979,846739845823.177,886436354593.11,924189897794.352,988795674791.154,1045425173587.05,1101310587943.9,1151327477535.01,1223981429932.72,1276506779444.01,1263994941605.61,1318526794168.15,1364034018485.65,1418306283854.76,1468785397581.11,1492112485529.43,1508193647277.48,1546027156295.34,1565449840946.57,1589314645224.14,1615113109207.86,1653088331642.54,1695693741976.35,1775967108271.0,1853279061481.41,1907283793110.36,1927102480674.01,1957929784318.2,1945934472017.74,1991574138780.87,2033100143182.82,2061319655072.61,2109499567942.87,2184517617995.02,2258946299164.14,2346484133601.43,2392344979248.76,2419102326538.82,2438927636224.75,2506886503924.98,2547190064553.79,2607684476018.47,2669264915537.28,2674477850197.17,2595812335192.44,2646837111794.78,2701870921226.24,2706807051174.77,2722404797996.28,2748201937555.55,2777537939261.97,2810525379194.34,,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",France
76,Faroe Islands,FRO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301178416.00619,,,,,,,,,Europe & Central Asia,High income,,Faroe Islands
77,"Micronesia, Fed. Sts.",FSM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,203119276.665203,205556220.596399,210795650.048471,218228329.03861898,226392091.208127,243207004.33337998,252954780.05816498,273546956.276773,272084789.918055,291359310.553065,282293513.58742595,265170327.05487597,273008026.126389,276785776.60852903,289416091.46232903,294472750.11956096,296239290.77528596,301648209.67777205,291901165.03616697,298207854.082906,297720587.14386296,291588505.129794,284124876.95172,286858031.417753,294117200.0,300148270.688121,301841581.17871296,291091490.415027,281185922.570697,291794183.197587,297307159.605936,,,East Asia & Pacific,Lower middle income,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward.","Micronesia, Fed. Sts."
78,Gabon,GAB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2185116065.6013103,2507788728.45896,2694599217.24474,2858765930.71952,2988967099.55027,3238047760.73506,3384019101.66093,3523276660.31173,3611668656.19117,3903596598.83735,4242403104.80399,4677619823.51501,5207920211.5722,5738213230.02661,8004066949.73228,9540056594.859379,12938733999.2861,11310770691.4855,8590620139.78418,8631374495.28825,8851728061.99458,9302752753.63112,9014598089.529991,9520158446.65818,10235017844.0222,9996240063.52899,9915910504.90297,8215724303.740841,9271063112.44527,10063304194.7561,10585814826.4062,11232873126.3755,10885760985.9173,11315373531.2553,11735485609.8244,12319190798.347,12765767503.6889,13498314143.8215,13967763046.8196,12720075459.928001,12480560713.2671,12747049816.8665,12715305434.8118,13001060309.9028,13090708218.7965,13601338189.7726,13106978860.3736,13848696552.9606,13390522031.7449,13407974049.0581,14358584300.3006,15376859682.3653,16184310411.783,17096848843.9712,17834556863.8851,18526405265.5961,18945471300.2525,,,Sub-Saharan Africa,Upper middle income,,Gabon
79,United Kingdom,GBR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,726738602151.513,745441728526.9921,755341143831.7,785224261113.2759,824786077244.527,847789169822.1941,865163008041.3629,885156623220.11,920427795497.958,939319075758.067,995280519872.708,1029909665184.2,1074138824838.89,1144130511085.92,1115839892997.43,1099232366082.77,1131349522389.74,1159217084177.26,1207849543967.45,1252968732489.65,1227393580233.09,1217833090328.02,1242380610592.67,1294816186809.38,1324267648495.78,1379718782630.69,1423224793743.62,1499502308220.35,1586284504199.4,1627256568406.81,1638922093507.07,1620582816641.35,1626414847168.74,1667189289803.58,1731960840359.97,1775370236677.59,1820619708869.34,1877553736280.41,1937462333589.62,2001075968330.03,2076015511800.81,2132609922996.52,2183733877781.2,2259427310886.05,2316542857378.05,2385392730300.73,2445099314518.98,2507591630099.59,2491863884970.16,2384022554466.03,2429680444512.61,2466345823534.34,2498729402898.82,2546482081058.3,2624671400676.04,2682262702616.83,2730704860289.31,,,Europe & Central Asia,High income,,United Kingdom
80,Georgia,GEO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,7001399096.99261,7528998718.38555,7999561103.915999,8356048330.34864,8755312830.67395,9810513310.73095,10052924828.1675,10338113619.4967,11008308873.8254,11977953018.9277,12862039179.3804,13646310280.1797,14587434913.7661,15671154080.4916,16826172369.6934,17596182821.15,18523048317.614,18893794268.7453,19706583918.7386,20776045048.1382,21802725604.2556,20020292634.0074,20276961363.9225,21403459729.1846,19863437589.0002,16925987566.8214,13354604094.5398,7358386868.326641,5202379407.71445,4661332299.04745,4782526716.11388,5318169836.99483,5877590284.1751,6060083786.18071,6233963131.767329,6348564680.98529,6653641918.03962,7017851503.36986,7793892689.16722,8250406686.087709,9042416092.8345,9890890978.71625,11111822549.2512,11368955393.3071,10953976999.9828,11638536834.4274,12479016474.3945,13271494256.9938,13721005574.3792,14355373169.1671,14768853639.6005,15174112855.9298,,,Europe & Central Asia,Lower middle income,Value added data in constant prices before 2007 have been temporarily removed until revised series become available. Constant price expenditure estimates before 2011 have been deleted.,Georgia
81,Ghana,GHA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,7006635822.73907,7246940590.64389,7544728873.6092,7877147681.27857,8051179671.60213,8161400230.29117,7813864110.02662,8054168877.93144,8083877511.744121,8569409338.946209,9402653506.8744,9893107625.46892,9647001199.36843,9925277071.22695,10605408353.1228,9286983330.411758,8959135841.715559,9162876198.8511,9939515684.520641,9689542687.792841,9735247867.50358,9394215617.27393,8743792969.19078,8344749210.01773,9066367194.07528,9527991912.16001,10023367521.1449,10503977857.9566,11095159458.876001,11659445144.8497,12047566839.9157,12683898392.5916,13175959988.8964,13814994122.6508,14270888872.2276,14857767623.376999,15541590590.4421,16193771304.6299,16954941837.7833,17700958746.2464,18355894240.1495,19090130009.7555,19949185802.7894,20986543461.3304,22161789893.0289,23469336372.7469,24971353345.8208,26056812915.8501,28440958947.8913,29819138460.1109,32174772955.9748,36694042412.3186,40103840658.742004,43036444041.2994,44751818870.199005,46504253396.1652,48167546935.1538,,,Sub-Saharan Africa,Lower middle income,,Ghana
82,Gibraltar,GIB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income,,Gibraltar
83,Guinea,GIN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,2093182838.01598,2162256591.5945,2298654260.68375,2390680332.62773,2494054850.45135,2559235053.66731,2642946283.56569,2776260314.27409,2886480600.18645,3019480193.28732,3154196569.28423,3317634527.8206,3438533152.39032,3569610174.8881702,3658959679.37405,3792817101.6806397,3988701292.7338,4038504267.3287296,4133010004.86076,4256887579.70004,4363170508.0501,4439861186.002,4659054145.11409,4645999834.78399,4735956493.06479,4921073734.73988,5115166393.893021,5232815181.98995,5253746369.5154295,5258999828.38809,5532467776.95961,,,Sub-Saharan Africa,Low income,,Guinea
84,"Gambia, The",GMB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,172511783.225106,172511783.225106,189031759.079121,193635670.825667,205551712.92003798,205416301.549712,205912802.569875,224960414.777983,238185373.283037,267704708.60974702,287384286.039778,297269087.137348,316045929.43624,311848260.60591,331401394.801694,342410197.885098,339792188.95895,376772546.824955,390092425.808086,386923842.888132,402753171.00388396,412638073.361705,431111165.728129,456528281.01693606,472775571.822219,487464894.429975,503934816.90202004,519113842.885312,519915075.622107,524499937.233744,536162432.46668303,562434386.7882531,582119581.960865,619375231.226392,653440870.022485,691340442.024706,668871875.534639,714823372.065284,765218419.327008,758012541.8000519,766533358.521271,794366380.48455,839920448.1433719,894092762.494649,952429030.4155359,911201531.483016,964618263.859891,1010735774.3695401,1019604582.9473599,1067687902.72166,1085044548.3998802,,,Sub-Saharan Africa,Low income,Fiscal year end: June 30; reporting period for national accounts data: CY.,"Gambia, The"
85,Guinea-Bissau,GNB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,346876237.229475,333310020.47115695,354558070.620534,358493285.08306897,374837858.092633,404246078.31161404,424229802.515242,393812228.836785,445504192.832095,454388189.57831794,381901225.24441004,451283237.85595995,470237504.506474,454257482.503282,495636809.51707196,516287481.980438,512188946.060428,527042425.534321,551286377.0475019,584914846.165777,620594651.702351,652244979.080572,659419673.662544,673267486.807364,694812046.52288,725383776.625703,809528294.6873059,862147633.8419809,619884323.495249,626241469.122696,660227514.538072,674679279.596368,668032490.968011,671830323.658742,690382259.588904,719829998.431542,736456272.715701,760060047.084813,784438039.765465,810416099.127821,846332456.382994,925330348.567073,908693015.217384,916146773.289605,939426750.908891,984488983.7308881,1039361919.3608199,,,Sub-Saharan Africa,Low income,,Guinea-Bissau
86,Equatorial Guinea,GNQ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,164823625.289077,174332993.50110802,178171240.858589,187087619.687114,188979789.706404,213367969.447198,208395308.72101,217641261.284172,223420207.377915,220673975.233021,216793281.889903,214577136.655075,289132649.495085,321033270.674926,374545778.598325,440039841.242576,733018355.315771,1832347705.69357,2267978887.20713,2850033339.01954,3369132140.08877,5504483893.3827,6575812458.0859995,7493483546.94777,10340911891.9249,12072880264.5669,13003085741.6938,14990232117.7878,17658359891.78,17895574579.7547,16298542027.9965,17361846462.6899,18805114508.9646,18027862926.5874,17902653392.1228,16268364191.0618,14692770799.3564,,,Sub-Saharan Africa,Upper middle income,,Equatorial Guinea
87,Greece,GRC,GDP (constant 2010 US$),NY.GDP.MKTP.KD,56488152206.7234,62786319861.6199,63749159946.9305,70210810027.4557,76009057613.0146,83148330609.7444,88219419688.5285,93055111746.9691,99256406058.3417,109082522436.44,117755967331.06401,126989421156.06801,139891738262.25598,151212307425.025,141476895274.227,150484458575.03,160795500162.00198,165524498469.44,177519832755.341,183346176059.017,184587669956.207,181719692103.63898,179661448556.809,177723579962.172,181296855424.633,185846602550.214,186808656263.818,182588903662.85898,190418063349.87,197653949750.543,197653949750.543,203781222157.05,205207690736.387,201924367679.307,205962855046.137,210287497825.875,216306196961.633,226005797602.23,234808508199.108,242023226588.58102,251509982285.871,261901399087.37802,272175455326.75302,287946747179.79803,302519710645.089,304332233457.662,321534411242.933,332060633925.509,330947657806.954,316714480468.73303,299361576558.217,272022398082.022,252163419407.33,243989731226.599,244850647120.79398,244314063836.67,244342775769.573,,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Greece
88,Grenada,GRD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,265671207.841736,279861775.386736,295539865.812821,293959365.753226,298469253.59404504,310778906.549247,322068183.02827203,333561074.18969303,353507052.98245496,378939318.318051,413413038.757544,425678142.48497903,441716548.912151,459440919.728563,465806701.067801,461841981.550508,452795342.168707,460463682.78485304,470269147.49703497,491140782.968469,515773953.51739806,576341238.006919,616157278.642745,646274759.6948531,633194804.570222,654959758.575549,716944976.1093401,712303113.595366,806847560.79538,774430775.474869,822062784.995063,829864579.657853,774978091.9015031,771015888.888889,776912813.791643,767937177.52872,786001370.766791,843825685.896531,896385144.677434,913011091.190667,,,Latin America & Caribbean,Upper middle income,,Grenada
89,Greenland,GRL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,726460342.6361481,821342248.105121,872078805.651749,931432567.5741731,984582475.6672051,990945242.8432051,1049997736.05855,1142631846.77565,1211380773.6871,1270261116.79366,1380469050.91134,1389653029.37658,1328235078.62707,1374155043.15382,1302979095.73067,1350621066.7489,1446479002.9269,1526264934.67375,1611790880.03658,1719128819.37969,1517654950.35005,1515932943.8585699,1438443012.74474,1366119052.97166,1447052997.06844,1501008951.77735,1523968934.04073,1546354922.16256,1666320852.9538698,1689280835.21724,1809246741.9417102,1832206724.2051,1814412737.3493,1807524759.51708,1929233121.7439198,1982166035.45456,2123041908.92765,2135737273.51932,2212620685.97642,2245621521.66569,2306502373.71313,2340907878.59391,2376469123.94872,2306075638.76887,2287263739.97617,2325118685.6563697,,,,Europe & Central Asia,High income,,Greenland
90,Guatemala,GTM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6155115789.883389,6419694571.43974,6646727151.07954,7280894308.42143,7618217590.743991,7950506667.981521,8388746863.18835,8733706866.28546,9499306671.73649,9949280185.861229,10517173517.8082,11104426672.6136,11918720012.6939,12727147045.6199,13538506475.7042,13802506109.9098,14822133898.8246,15979627045.2158,16778079443.1725,17568906850.0262,18229493911.2302,18347412962.2718,17699732953.9192,17244479636.9404,17330132579.0527,17224533330.5055,17249172956.218002,17860480765.996998,18555679808.2647,19287254095.5048,19885653339.5948,20613120003.6292,21610452588.2997,22459123585.4225,23365066568.9271,24521297988.1245,25246584010.8922,26348367641.8996,27664080711.0876,28728335092.2478,29765102998.3889,30459396099.6833,31637147197.0331,32437816938.1086,33460283473.3238,34551125869.8223,36409899312.9025,38705199942.4988,39975176494.0918,40185315839.1501,41338595380.8159,43059085363.7286,44337951141.1984,45977203823.062996,47896476507.9282,49879411881.3975,51409073371.768,,,Latin America & Caribbean,Lower middle income,,Guatemala
91,Guam,GUM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4357462610.12088,4397577340.70887,4680386191.35423,4845859455.02971,4660328826.060229,4698437820.11883,4779670149.559521,4794713173.530021,4895000000.0,4901017209.5882,5000301167.79348,5093567916.41057,5157751485.35136,5180817455.43946,,,,East Asia & Pacific,High income,,Guam
92,Guyana,GUY,GDP (constant 2010 US$),NY.GDP.MKTP.KD,954522047.101818,999284590.5379939,1010325943.9026301,886271484.03552,986954427.2711711,1090989478.61722,1148083946.1933901,1197607945.9203699,1209881362.1232,1294505142.68452,1349592251.00852,1391603044.7986,1345434235.03883,1362181115.3443,1467107746.4870002,1591562812.23368,1616023752.42843,1573382062.37243,1544963812.21545,1516602969.28553,1542899192.36607,1565983524.2598,1359428191.3444,1267090571.8248599,1203371908.46977,1232248832.5539598,1221151172.01485,1232134164.07216,1186624880.87692,1127953244.96456,1093685067.7186801,1159137853.17662,1249915116.1618,1352581118.86285,1467865791.8671699,1541058183.6835802,1662546992.81814,1766072935.48905,1735898393.8491302,1787452510.04282,1762844159.5142698,1802508140.7072,1821452515.1154802,1803142268.0899198,1862536418.2757897,1826088235.3303,1919759428.27848,2054532557.6488302,2095143415.0007,2164673350.7761,2259288396.24467,2382128754.36652,2496863007.17268,2627239852.39885,2728149909.3828397,2814753785.9042697,2906630282.2797,,,Latin America & Caribbean,Upper middle income,,Guyana
